upc,title,description,game_image_url,console_type,brand,release_date
,Call of Duty: Black Ops III,"Welcome to Call of Duty: Black Ops III, a dark future where a new breed of Black Ops soldier emerges and the lines are blurred between humanity and the technology we created to stay ahead, in a world where cutting-edge military robotics define warfare. It is the ultimate 3-games-in-1 experience.",http://ps4daily.com/wp-content/uploads/2015/04/black-ops-2-box-art-640x799.jpg,PlayStation 4,Activision,
,Crimes & Punishments,"Sherlock Holmes: Gather clues and interrogate suspects (failure to find all clues could lead to imprisoning the wrong person!) Lead 6 intense investigations, each with a variety of people and places involved Use Sherlock's skills to examine countless details within each scene Write your own story with a variety of moral choices and outcomes Initial release date: September 30, 2014",https://images-na.ssl-images-amazon.com/images/I/81OA6w4qosL._AC_SX215_.jpg,PlayStation 4,Focus,
10086650167,House of the Dead 2 & 3,"House of the Dead 2 & 3 Return: The heart-pounding action and terrifying thrills of the classic arcade shooter are now in your living room! Combine two classic House of the Dead titles and use the Wii Remote or the innovative new Wii Zapper as you fight an unrelenting horde of zombies intent on your destruction. You'll also have to face massive boss creatures, which will test your skills to the extreme. Branching storylines keep the game fresh each time, and six different game modes - including Arcade Mode and Time Attack Mode - will put...",http://images10.newegg.com/ProductImageCompressAll200/78-142-029-02.jpg,Nintendo Wii,Sega,
45496902445,The Malgrave Incident,"Mystery Case Files: Malgrave Island is the opposite of a vacation spot. It has been deserted for years, but it is home to a secret that could be life-saving...and a mystery that may be even greater. Open a new Mystery Case File in this interactive detective adventure. Travel to an abandoned resort on a mostly deserted island at the request of the island's caretaker, Winston Malgrave. The man's wife Sara is very ill, and the island's legendary dust may hold the only cure. Search for clues and hidden objects by pointing and cli...",http://www.fye.com/amgcover/game/full/g4/79/g47986juv1n.jpg,Nintendo Wii,Nintendo,
,Calling,"Calling, or Calling: Kuroki Chakushin in Japan, is a survival horror video game developed by Hudson Soft exclusively for the Wii console. Initial release date: November 19, 2009",https://images-na.ssl-images-amazon.com/images/I/814ozWyvR6L.jpg,Nintendo Wii,Hudson,
,Scooby Doo First Frights,"Scooby-Doo! First Frights is a 3D platform video game released in 2009. It was developed by Torus Games and published by Warner Bros. Interactive Entertainment. The game tied in with the release of Scooby-Doo! The Mystery Begins on DVD.  Initial release date: September 22, 2009",http://dsmedia.ign.com/ds/image/object/143/14336673/Scooby-Doo-First-Frights_US_ESRB_Wii.jpg,Nintendo Wii,Torus Games,
8888177272,Just Dance Greatest Hits,"Catch up on the moves you might have missed as the smash-hit sensation Just Dance unleashes its Greatest Hits. This collection pulls an all-star track list from four Just Dance games, creating a decades-spanning set of 35 unforgettable songs. Choose from recent chart-toppers from Rhianna, Katy Perry, Outkast, and Britney Spears, or flashback with classics like ""Fame,"" ""Eye of the Tiger,"" and more. Jump right in and groove to the music with help from an on-screen coach. Mix things up with multiple game mode...",http://images.hookbag.ca/acc19a6a08e9d9aa/image.jpg,Nintendo Wii,Ubisoft,
,Brunswick Zone Bowling,Brunswick Zone Cosmic Bowling is a video game published by Game Mill Entertainment,https://images-na.ssl-images-amazon.com/images/I/91CYW3ADx7L._AC_SX215_.jpg,Nintendo Wii,Game Mill,9/10/10
45496900069,Wii Play,"Note: The Wii Remote is not included with rental or purchase of this game. <p>Wii Play is packed, loaded, and punched with nine fun mini-games that will keep you going 24/7. Start off at the Shooting Range, where you will use the remote to point-aim-and-fire at your target. Billiards is everyone's best bet- use your remote as the pool cue and knock away those stripes and solids as though you were playing at a real live pool table. Where's your Mii? Similar to Where's Waldo, you'll be scanning crowds and fa...",https://i5.walmartimages.com/asr/cdf132a6-b01b-4616-91ec-a7a11a834abc_1.e5fa94cb64bdbfac9cf4f31cdc26115d.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff http://img1.r10.io/PIC/92872412/0/1/250/92872412.jpg http://www.techforless.com/cimages/115250.JPG http://gamefly.gameflycdn.com/images/Games/p/124720p.jpg,Nintendo Wii,Nintendo,
,CSI: Deadly Intent,"CSI: Deadly Intent is a computer game based on the CSI: Crime Scene Investigation television series. It's the seventh CSI game released, including CSI: Miami and CSI: NY.  Initial release date: October 20, 2009",https://images-na.ssl-images-amazon.com/images/I/51IbrIwZVgL._AC_SX215_.jpg,Nintendo Wii,Telltale Games,
8888174646,Gold's Gym Cardio Workout,"It's like having a personal trainer in your living room all the time! Gold's Gym is known all around as the elite in fitness training. Now bring that expertise home and get ready to get pumped up. Schedule workouts, track your burned calories, and evaluate your body weight as you reach your goals. You'll get the most intense cardio workout available on the Wii, including running, sit ups, and cardio boxing. The trainer will track your progress and make sure you keep coming back for your workouts! You'll se...",https://i5.walmartimages.com/asr/0a86b8c2-52c0-4aee-bb16-c8bfcf3d2ce4_1.6a9eb7874f7351f631ac1c3b85980b76.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff http://www.secondspin.com/amgcover/game/large/g4/07/g40756gpf3g.jpg http://www.fye.com/amgcover/game/full/g4/07/g40756gpf3g.jpg http://img1.r10.io/PIC/65729350/0/1/250/65729350.jpg http://images10.newegg.com/ProductImageCompressAll200/78-147-168-02.jpg http://gamefly.gameflycdn.com/images/Games/p/134900p.jpg,Nintendo Wii,UBISOFT,
,Tetris Party Deluxe,"Tetris Party is a puzzle video game by Hudson Soft for WiiWare. An installment of the Tetris series, the game supports the use of Miis and the Wii Balance Board, and features both local and online . Initial release date: October 14, 2008",https://images-na.ssl-images-amazon.com/images/I/51ROq1o2jIL._AC_SX215_.jpg,Nintendo Wii,Hudson,
8888173465,CSI Hard Evidence,"It's time to flex your investigation muscles! Join Gil Grissom, Catherine Willows, and the rest of the CSI crew as you help solve crimes using the latest and most advanced lab equipment and detective techniques. Rebuilt from the ground up, all-new gameplay concepts include complete forensic reconstructions and crime scenes packed with clues - all directly from the show. Hone your investigative skills using the training levels. Then bring large evidence, like cars and boats, into the brand-new, state-of-the...",https://i5.walmartimages.com/asr/d8bfdc6c-4ab4-4b58-9db3-d52d0b03be02_1.8eb40d032d669aefb19a85e8fb9ff7d7.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff http://www.secondspin.com/amgcover/game/large/g2/73/g27319vn8qn.jpg http://www.wherehouse.com/amgcover/game/large/g2/73/g27319vn8qn.jpg http://img1.r10.io/PIC/32255746/0/1/250/32255746.jpg http://c.shld.net/rpx/i/s/pi/mp/4547/1598443206?src=http%3A%2F%2Fimages.inetvideo.com%2Fgames%2Fgames%2520big%2F02-009630.jpg&d=d8421fdb31df7e6f56eeb1dafabaed4f55fa9d85 http://gamefly.gameflycdn.com/images/Games/p/125830p.jpg,Nintendo Wii,UBI Soft,9/25/07
,Link's Crossbow Training,"Link's Crossbow Training, known in Japan as Link's Bowgun Training, is a shooting video game developed and published by Nintendo for the Wii video game console. It was bundled with the Wii Zapper peripheral and was the first title to use it.  Initial release date: November 19, 2007",https://images-na.ssl-images-amazon.com/images/I/91B1od7FjKL.jpg,Nintendo Wii,Nintendo,
8888174998,My Fitness Coach,"The Wii was made to get you in motion. Make the most of it with My Fitness Coach! Join Maya, your very own virtual personal trainer, for an easy-to-follow workout program designed to help you reach your fitness goals. Sculpt your perfect training session from over 500 exercises that cover every type of activity you'd find in your local gym: Yoga, Pilates, strength training, flexibility, cardio, and routines geared toward weight loss. Maya will demonstrate exercises, give advice, and keep you pumped up with...",https://i5.walmartimages.com/asr/232940ef-e10f-4106-98b3-f739a4bc187c_1.608c10c5a9aaaeffdd80cd37a53c2cd8.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff http://www.secondspin.com/amgcover/game/large/g3/95/g39508r2kgh.jpg http://www.wherehouse.com/amgcover/game/large/g3/95/g39508r2kgh.jpg http://img1.r10.io/PIC/65729346/0/1/250/65729346.jpg http://gamefly.gameflycdn.com/images/Games/p/134525p.jpg,Nintendo Wii,Ubisoft,
6.50E+11,Solitaire & Mahjong,"The most popular card game in the world hits your living room on your Wii - Solitaire! And what could be better than pairing it with another classic and iconic solo game? Play 101 different card games, then take on the challenge of 101 different layouts of Mahjong. You can even customize your tiles down to the textures and colors to add a personal touch to your game. Track your scores using detailed game statistics and graphs to prove you've got major game. And you can even challenge your mind with a quick...",http://gamefly.gameflycdn.com/images/Games/p/131795p.jpg,Nintendo Wii,Crave Ent.,
8888198352,Splinter Cell Blacklist,"Tom Clancy's Splinter Cell: Blacklist Wii U Brand: Ubisoft ESRB Rating: M - Mature Genre: Action Platform: Nintendo Wii U Features: Operate without Restrictions  Sam is back in his tactical suit and goggles, and he's more deadly than ever. He is the only secret operative with the power to act above the law, and uses ruthless methods to interrogate enemies in order to extract crucial information that will prevent the next Blacklist attack.    Kill in Motion  Always one step ahead, Killing in Motion lets Sam...",http://images10.newegg.com/ProductImageCompressAll200/78-147-344-03.jpg,Nintendo Wii U,Ubisoft,
8.95E+11,The Walking Dead,"The Complete First Season: Upon getting a second chance at life, Lee Everett finds himself among utter chaos and devastation in a world completely overrun by The Walking Dead. Fear is in the air, and the stench of uncertainty lurks around every corner. When given the choice between living or joining the zombie horde, the decision seems simple - it's the staying alive part that's difficult. Thanks to Robert Kirkman's award-winning comic book series and the TV show it inspired, the undead apocalypse has become one of the most powerful...",http://scene7.targetimg1.com/is/image/Target/15640069?wid=1000&hei=1000,PlayStation 4,Telltale Games,
8888174110,Broken Sword,"Shadow of the Templars: Paris. Medieval times. You witness the murder of one of Paris's richest and most influential statesmen. Soon, you are pulled into an intricate and sinister conspiracy rooted in a long-forgotten legend. Step into the shoes of a journalist trying to get to the bottom of the crime. Follow an all-new storyline, interwoven with the original Broken Sword. Use the unique and intuitive control scheme to fully immerse yourself in the story. Puzzles add depth to the adventure through a Medieval capital.",http://www.fye.com/amgcover/game/large/g4/07/g40754w7jcb.jpg,Nintendo Wii,UBI Soft,3/19/09
